"﻿AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"Total 2014-2015";"Total 2015-2016";"Total 2016-2017";"Total 2017-2018";"Total 2018-2019";"Educación Infantil Especial 2014-2015";"Educación Infantil Especial 2015-2016";"Educación Infantil Especial 2016-2017";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Infantil I Ciclo 2014-2015";"Infantil I Ciclo 2015-2016";"Infantil I Ciclo 2016-2017";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil II Ciclo 2014-2015";"Infantil II Ciclo 2015-2016";"Infantil II Ciclo 2016-2017";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Educación Básica Obligatoria 2014-2015";"Educación Básica Obligatoria 2015-2016";"Educación Básica Obligatoria 2016-2017";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Primaria 2014-2015";"Primaria 2015-2016";"Primaria 2016-2017";"Primaria 2017-2018";"Primaria 2018-2019";"ESO 2014-2015";"ESO 2015-2016";"ESO 2016-2017";"ESO 2017-2018";"ESO 2018-2019";"Bachillerato 2014-2015";"Bachillerato 2015-2016";"Bachillerato 2016-2017";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"FP GM 2014-2015";"FP GM 2015-2016";"FP GM 2016-2017";"FP GM 2017-2018";"FP GM 2018-2019";"FP GS 2014-2015";"FP GS 2015-2016";"FP GS 2016-2017";"FP GS 2017-2018";"FP GS 2018-2019";"FPB 2014-2015";"FPB 2015-2016";"FPB 2016-2017";"FPB 2017-2018";"FPB 2018-2019";"PCPI: Módulos Voluntarios 2014-2015";"PCPI: Módulos Voluntarios 2015-2016";"PCPI: Módulos Voluntarios 2016-2017";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Especial 2014-2015";"PCPI: Especial 2015-2016";"PCPI: Especial 2016-2017";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"Programa Formación Transición Vida Adulta 2014-2015";"Programa Formación Transición Vida Adulta 2015-2016";"Programa Formación Transición Vida Adulta 2016-2017";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programas Profesionales Modalidad Especial 2014-2015";"Programas Profesionales Modalidad Especial 2015-2016";"Programas Profesionales Modalidad Especial 2016-2017";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"lat";"lng"
"Madrid-Oeste";"28022797";"CP INF-PRI";"SAN PIO X";"Avenida Reyes Católicos, 5 ";"Majadahonda";"-";"28220";"916387427";"916345336";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28022797";"cp.sanpiodecimo.majadahonda@educa.madrid.org";"";"374";"367";"356";"358";"360";"4";"0";"0";"0";"1";"";"";"";"";"";"105";"95";"76";"72";"66";"19";"25";"25";"20";"15";"246";"247";"255";"266";"278";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.476233";"-3.8723111"
"Madrid-Capital";"28014272";"CP INF-PRI";"SAN ROQUE";"Calle Del Oxígeno, 43 ";"Madrid";"Villaverde";"28021";"917962774";"917100003";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28014272";"cp.sanroque.madrid@educa.madrid.org";"";"215";"189";"195";"195";"202";"";"";"";"";"";"";"";"";"";"";"56";"43";"52";"53";"49";"";"";"";"";"";"159";"146";"143";"142";"153";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3468756";"-3.7031847"
"Madrid-Este";"28022876";"CP INF-PRI";"SAN SEBASTIAN";"Calle De La Estación, 35 ";"Meco";"-";"28880";"918860180";"918860180";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28022876";"cp.sansebastian.meco@educa.madrid.org";"";"703";"693";"682";"676";"655";"";"";"";"";"";"";"";"";"";"";"239";"224";"219";"222";"209";"";"";"";"";"";"464";"469";"463";"454";"446";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5520375";"-3.3237037"
"Madrid-Norte";"28030435";"CP INF-PRI";"SAN SEBASTIAN";"Avenida De Valencia, 5 ";"San Sebastián de los Reyes";"-";"28702";"916519284";"916513339";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28030435";"cp.sansebastian.sansebastian@educa.madrid.org";"";"425";"430";"433";"436";"434";"";"";"";"";"";"";"";"";"";"";"148";"150";"147";"149";"146";"";"";"";"";"";"277";"280";"286";"287";"288";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5574237";"-3.6302916"
"Madrid-Sur";"28067756";"CP INF-PRI";"SAN VICENTE";"Calle Escuelas, 1 ";"Colmenar del Arroyo";"-";"28213";"918651348";"918651348";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067756";"cp.sanvicente.colmenardelarroyo@educa.madrid.org";"";"122";"127";"123";"123";"125";"";"";"";"";"";"";"";"";"";"";"45";"49";"47";"40";"40";"";"";"";"";"";"77";"78";"76";"83";"85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.42099169999999";"-4.1981511"
"Madrid-Norte";"28063830";"CP INF-PRI";"SANSUEÑA";"Plaza De La Cruz, 1 ";"Talamanca de Jarama";"-";"28160";"918417515";"918417214";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063830";"cp.sansuena.talamanca@educa.madrid.org";"";"348";"380";"383";"394";"431";"";"";"";"";"";"";"";"";"";"";"121";"149";"129";"141";"148";"";"";"";"";"";"227";"231";"254";"253";"283";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.7477731";"-3.5149035"
"Madrid-Norte";"28064081";"CP INF-PRI";"SANTA ANA";"Calle Del Polideportivo, 6 ";"Pedrezuela";"-";"28723";"918446541";"918446560";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064081";"cp.santaana.pedrezuela@educa.madrid.org";"";"305";"349";"348";"363";"395";"";"";"";"";"";"";"";"";"";"";"132";"138";"118";"126";"128";"";"";"";"";"";"173";"211";"230";"237";"267";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.7470778";"-3.6001306"
"Madrid-Oeste";"28069716";"CP INF-PRI";"SANTA CATALINA";"Calle Joaquín Turina, 34 ";"Majadahonda";"-";"28222";"916795270";"916028908";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069716";"cp.santacatalina.majadahonda@educa.madrid.org";"";"420";"432";"453";"447";"450";"";"";"";"";"";"";"";"";"";"";"160";"150";"154";"141";"143";"";"";"";"";"";"260";"282";"299";"306";"307";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4486532";"-3.8620695"
"Madrid-Este";"28063933";"CP INF-PRI";"SANTA LUCIA";"Avenida De Tielmes, 20 ";"Carabaña";"-";"28560";"918723041";"918723041";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063933";"cp.santalucia.carabana@educa.madrid.org";"";"175";"179";"170";"169";"182";"";"";"";"";"";"";"";"";"";"";"52";"54";"54";"62";"62";"";"";"";"";"";"123";"125";"116";"107";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2572178";"-3.233698"
"Madrid-Sur";"28002968";"CP INF-PRI";"SANTA MARGARITA MARIA ALACOQUE";"Avenida De Las Ciudades, 19 ";"Getafe";"-";"28903";"916953023";"916963453";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28002968";"cp.santamargarita.getafe@educa.madrid.org";"";"382";"374";"358";"343";"349";"";"";"";"";"";"";"";"";"";"";"97";"82";"76";"72";"78";"";"";"";"";"";"285";"292";"282";"271";"271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.31874699999999";"-3.7218914"
"Madrid-Capital";"28006381";"CP INF-PRI";"SANTA MARIA";"Calle Del Casino, 7 ";"Madrid";"Centro";"28005";"915275281";"914673704";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28006381";"cp.santamaria.madrid@educa.madrid.org";"";"198";"199";"205";"214";"205";"";"";"";"";"";"";"";"";"";"";"74";"74";"68";"69";"71";"";"";"";"";"";"124";"125";"137";"145";"134";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4061026";"-3.7068524"
"Madrid-Oeste";"28001289";"CP INF-PRI";"SANTA QUITERIA";"Calle De Santa Quiteria, 45 ";"Alpedrete";"-";"28439";"918572391";"918571221";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28001289";"cp.santaquiteria.alpedrete@educa.madrid.org";"";"361";"378";"394";"377";"373";"";"";"";"";"";"";"";"";"";"";"102";"114";"120";"106";"105";"";"";"";"";"";"259";"264";"274";"271";"268";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6551013";"-4.0197745"
"Madrid-Sur";"28022980";"CP INF-PRI";"SANTA TERESA";"Calle Mirasierra, 59 ";"Moraleja de Enmedio";"-";"28950";"916094257";"916005122";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28022980";"cp.santateresa.moraleja@educa.madrid.org";"";"488";"488";"491";"492";"494";"";"";"";"";"";"";"";"";"";"";"162";"168";"162";"150";"141";"";"";"";"";"";"326";"320";"329";"342";"353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2621631";"-3.8545157"
"Madrid-Sur";"28029603";"CP INF-PRI";"SANTA TERESA DE JESUS";"Plaza De La Paloma, 11 ";"Aranjuez";"-";"28300";"918915144";"918910206";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28029603";"cp.santateresa.aranjuez@educa.madrid.org";"";"432";"435";"463";"467";"461";"";"";"";"";"";"";"";"";"";"";"159";"149";"156";"151";"146";"";"";"";"";"";"273";"286";"307";"316";"315";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.02749";"-3.616042"
"Madrid-Oeste";"28025567";"CP INF-PRI";"SANTIAGO APOSTOL";"Avenida Polideportivo, S/n ";"Villanueva de la Cañada";"-";"28691";"918155375";"918155264";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28025567";"cp.santiagoapostol.villanuevadelacanada@educa.madrid.org";"";"726";"750";"740";"719";"694";"";"";"";"";"";"";"";"";"";"";"236";"231";"222";"197";"206";"";"";"";"";"";"490";"519";"518";"522";"488";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4546177";"-3.9938934"
"Madrid-Sur";"28028799";"CP INF-PRI";"SANTIAGO RAMON Y CAJAL";"Avenida De Cantarranas, 44 ";"Alcorcón";"-";"28921";"916129804";"916129804";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28028799";"cp.ramonycajal.alcorcon@educa.madrid.org";"";"441";"428";"410";"429";"434";"";"";"";"";"";"";"";"";"";"";"148";"145";"132";"133";"138";"";"";"";"";"";"293";"283";"278";"296";"296";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3504778";"-3.8237917"
"Madrid-Sur";"28037569";"CP INF-PRI";"SANTIAGO RAMON Y CAJAL";"Calle Comunidad De Madrid, 23 ";"Fuenlabrada";"-";"28944";"916156262";"916978936";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037569";"cp.ramonycajal.fuenlabrada@educa.madrid.org";"";"495";"459";"463";"469";"474";"";"";"";"";"";"";"";"";"";"";"140";"128";"136";"140";"150";"";"";"";"";"";"355";"331";"327";"329";"324";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2792894";"-3.7954131"
"Madrid-Capital";"28006391";"CP INF-PRI";"SANTO DOMINGO";"Calle De San Feliu De Guixols, 7 ";"Madrid";"Puente de Vallecas";"28038";"917785293";"913037833";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28006391";"cp.santodomingo.madrid@educa.madrid.org";"";"420";"445";"439";"435";"439";"";"";"";"";"";"";"";"";"";"";"132";"144";"144";"141";"141";"";"";"";"";"";"288";"301";"295";"294";"298";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3908937";"-3.646525399999999"
"Madrid-Sur";"28026501";"CP INF-PRI";"SANTO DOMINGO";"Calle De Los Cantos, 23 ";"Alcorcón";"-";"28921";"916415903";"916415903";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28026501";"cp.santodomingo.alcorcon@educa.madrid.org";"";"435";"434";"434";"437";"436";"";"";"";"";"";"";"";"";"";"";"135";"136";"140";"137";"139";"";"";"";"";"";"300";"298";"294";"300";"297";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.342";"-3.8245"
"Madrid-Sur";"28035482";"CP INF-PRI";"SANTO DOMINGO DE GUZMAN";"Calle De Severo Ochoa, 4 ";"Humanes de Madrid";"-";"28970";"916041026";"916048278";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28035482";"cp.santodomingo.humanes@educa.madrid.org";"";"387";"388";"377";"364";"387";"";"";"";"";"";"";"";"";"";"";"141";"127";"110";"81";"93";"";"";"";"";"";"246";"261";"267";"283";"294";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.25976250000001";"-3.8221858"
"Madrid-Este";"28028763";"CP INF-PRI";"SANTOS NIÑOS";"Avenida Nuestra Señora De Belén, 6 ";"Alcalá de Henares";"-";"28802";"918885346";"918885346";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28028763";"cp.santosninos.alcala@educa.madrid.org";"";"326";"314";"307";"298";"294";"";"";"";"";"";"";"";"";"";"";"66";"60";"53";"60";"68";"";"";"";"";"";"260";"254";"254";"238";"226";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4734214";"-3.3817023"
"Madrid-Oeste";"28002269";"CP INF-PRI";"SEIS DE DICIEMBRE";"Calle Madrid, S/n ";"Colmenarejo";"-";"28270";"918589021";"918423075";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28002269";"cp.seisdediciembre.colmenarejo@educa.madrid.org";"";"472";"458";"438";"424";"410";"";"";"";"";"";"";"";"";"";"";"161";"152";"134";"129";"119";"";"";"";"";"";"311";"306";"304";"295";"291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5582415";"-4.0148165"
"Madrid-Este";"28037764";"CP INF-PRI";"SEIS DE DICIEMBRE";"Avenida Virgen De Loreto, 38 ";"Torrejón de Ardoz";"-";"28850";"916560363";"916769086";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037764";"cp.seisdediciembre.torrejondeardoz@educa.madrid.org";"";"441";"447";"435";"423";"443";"";"";"";"";"";"";"";"";"";"";"156";"151";"127";"126";"124";"";"";"";"";"";"285";"296";"308";"297";"319";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4653504";"-3.4757419"
"Madrid-Norte";"28033643";"CP INF-PRI";"SEIS DE DICIEMBRE";"Calle Del Pintor Sorolla, 19 ";"Alcobendas";"-";"28100";"916613656";"916613656";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28033643";"cp.seisdediciembre.alcobendas@educa.madrid.org";"";"477";"451";"472";"463";"461";"";"";"";"";"";"";"";"";"";"";"149";"139";"162";"166";"162";"";"";"";"";"";"328";"312";"310";"297";"299";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5410614";"-3.6426423"
"Madrid-Este";"28033692";"CP INF-PRI";"SENECA";"Calle De León Felipe, 1 ";"Coslada";"-";"28822";"916731561";"916731561";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28033692";"cp.seneca.coslada@educa.madrid.org";"";"440";"437";"439";"432";"415";"";"";"";"";"";"";"";"";"";"";"146";"147";"141";"136";"126";"";"";"";"";"";"294";"290";"298";"296";"289";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4220322";"-3.5588969"
"Madrid-Sur";"28044321";"CP INF-PRI";"SENECA";"Calle Pablo Sorozábal, 16 ";"Parla";"-";"28981";"916981385";"916981385";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044321";"cp.seneca.parla@educa.madrid.org";"";"413";"441";"434";"454";"470";"";"";"";"";"";"";"";"";"";"";"166";"152";"139";"141";"139";"";"";"";"";"";"247";"289";"295";"313";"331";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2299744";"-3.7718813"
"Madrid-Este";"28049626";"CP INF-PRI";"SERRACINES";"Calle Romeral, 15 ";"Fresno de Torote";"-";"28815";"918791685";"918791685";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049626";"cp.serracines.fresno@educa.madrid.org";"";"221";"220";"224";"215";"220";"";"";"";"";"";"";"";"";"";"";"79";"68";"72";"68";"75";"";"";"";"";"";"142";"152";"152";"147";"145";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6202512";"-3.39925"
"Madrid-Sur";"28003286";"CP INF-PRI";"SESEÑA Y BENAVENTE";"Calle Alemania, 1 ";"Getafe";"-";"28907";"916968315";"916843437";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28003286";"cp.sesena.getafe@educa.madrid.org";"";"766";"791";"852";"867";"858";"";"";"";"";"";"";"";"";"";"";"321";"325";"304";"278";"239";"";"";"";"";"";"445";"466";"548";"589";"619";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3268439";"-3.7378879"
"Madrid-Este";"28026596";"CP INF-PRI";"SEVERO OCHOA";"Calle Londres, 7 ";"Torrejón de Ardoz";"-";"28850";"916765011";"916761050";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28026596";"cp.severoochoa.torrejondeardoz@educa.madrid.org";"";"688";"699";"701";"698";"686";"";"";"";"";"";"";"";"";"";"";"237";"235";"232";"227";"225";"";"";"";"";"";"451";"464";"469";"471";"461";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4606067";"-3.4715549"
"Madrid-Sur";"28049456";"CP INF-PRI";"SEVERO OCHOA";"Calle Violeta, 7 ";"Móstoles";"-";"28933";"916138811";"916136145";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049456";"cp.severoochoa.mostoles@educa.madrid.org";"";"442";"442";"446";"445";"451";"";"";"";"";"";"";"";"";"";"";"153";"150";"148";"145";"143";"";"";"";"";"";"289";"292";"298";"300";"308";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3367827";"-3.8673596"
"Madrid-Oeste";"28064381";"CP INF-PRI";"SIERRA DE GUADARRAMA";"Calle De Gustavo Adolfo Bécquer, 1 ";"Guadarrama";"-";"28440";"918540588";"918548656";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064381";"cp.sierra.guadarrama@educa.madrid.org";"";"245";"274";"264";"267";"282";"";"";"";"";"";"";"";"";"";"";"68";"74";"75";"77";"73";"0";"5";"5";"5";"5";"177";"195";"184";"185";"204";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6674715";"-4.0893058"
"Madrid-Oeste";"28057362";"CP INF-PRI";"SIGLO XXI";"Carretera De La Coruña, 70 ";"Rozas de Madrid, Las";"-";"28231";"916360291";"916360291";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28057362";"cp.sigloveintiuno.lasrozas@educa.madrid.org";"";"305";"284";"304";"299";"275";"";"";"";"";"";"";"";"";"";"";"93";"80";"78";"76";"70";"";"";"";"";"";"212";"204";"226";"223";"205";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4631225";"-3.7786584"
"Madrid-Norte";"28024629";"CP INF-PRI";"SILVIO ABAD";"Calle Del Dos De Mayo, 2 ";"San Sebastián de los Reyes";"-";"28703";"916520221";"916546166";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28024629";"cp.silvioabad.sansebastian@educa.madrid.org";"";"333";"300";"292";"303";"324";"";"";"";"";"";"";"";"";"";"";"91";"72";"61";"67";"74";"";"";"";"";"";"242";"228";"231";"236";"250";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5441315";"-3.6259717"
"Madrid-Norte";"28002270";"CP INF-PRI";"SOLEDAD SAINZ";"Calle De La Amargura, 20 ";"Colmenar Viejo";"-";"28770";"918450878";"918458101";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28002270";"cp.soledadsainz.colmenarviejo@educa.madrid.org";"";"185";"201";"204";"255";"252";"";"";"";"";"";"";"";"";"";"";"64";"59";"58";"50";"56";"";"";"";"";"";"121";"142";"146";"205";"196";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6594608";"-3.7639123"
"Madrid-Norte";"28076290";"CP INF-PRI";"TEMPRANALES";"Calle Bulevar Picos De Europa, 10 ";"San Sebastián de los Reyes";"-";"28701";"915028761";"915028762";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28076290";"cp.tempranales.sansebastian@educa.madrid.org";"";"";"28";"119";"225";"325";"";"";"";"";"";"";"";"";"";"";"";"28";"119";"225";"275";"";"";"";"";"";"";"0";"0";"0";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5595211";"-3.6446612"
"Madrid-Oeste";"28060324";"CP INF-PRI";"TERESA BERGANZA";"Calle De Tomás Bretón, 4 ";"Boadilla del Monte";"-";"28660";"916325553";"916339746";"Público";"http://gestiona.madrid.org/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28060324";"cp.teresaberganza.boadilla@educa.madrid.org";"";"753";"749";"718";"717";"720";"";"";"";"";"";"";"";"";"";"";"249";"246";"233";"225";"221";"";"";"";"";"";"504";"503";"485";"492";"499";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4036522";"-3.8864764"
